Date,Category,Description
2024-11-15,Fees,Monthly subscription
2024-11-15,Lunch,Sandwich and drink
2024-11-15,Snacks,Nuts
2024-11-16,Transport,Bus fare
2024-11-16,Lunch,Takeaway meal
2024-11-16,Snacks,Fruit salad
2024-11-17,Stationary,Notebooks and pens
2024-11-17,Lunch,Fast food meal
2024-11-17,Snacks,Chocolate bar
2024-11-18,Grocery,Monthly grocery shopping
2024-11-18,Lunch,Office lunch
2024-11-18,Snacks,Energy drink
2024-11-19,Transport,Taxi fare
2024-11-19,Lunch,Homemade meal
2024-11-19,Snacks,Granola bar
2024-11-20,Fees,Conference registration
2024-11-20,Lunch,Dine-out meal
2024-11-20,Snacks,Cookies
2024-11-21,Grocery,Stocking essentials
2024-11-21,Lunch,Office canteen
2024-11-21,Snacks,Biscuits
2024-11-22,Transport,Metro fare
2024-11-22,Lunch,Takeaway meal
2024-11-22,Snacks,Juice
2024-11-23,Stationary,Office supplies
2024-11-23,Lunch,Pasta and salad
2024-11-23,Snacks,Chips
2024-11-24,Grocery,Fruits and household items
2024-11-24,Lunch,Wrap and drink
2024-11-24,Snacks,Coffee
2024-11-25,Fees,Course registration
2024-11-25,Lunch,Dine-out with friends
2024-11-25,Snacks,Ice cream
2024-11-26,Transport,Bus fare
2024-11-26,Lunch,Office lunch
2024-11-26,Snacks,Fruit
2024-11-27,Grocery,Vegetables and essentials
2024-11-27,Lunch,Office lunch
2024-11-27,Snacks,Chips
2024-11-28,Stationary,Books and supplies
2024-11-28,Lunch,Work lunch
2024-11-28,Snacks,Popcorn
2024-11-29,Transport,Cab fare
2024-11-29,Lunch,Takeaway
2024-11-29,Snacks,Nuts
2024-11-30,Grocery,Groceries and toiletries
2024-11-30,Lunch,Office canteen
2024-11-30,Snacks,Biscuits
2024-12-01,Fees,Annual subscription
2024-12-01,Lunch,Restaurant meal
2024-12-01,Snacks,Chocolate
2024-12-02,Grocery,Monthly grocery haul
2024-12-02,Snacks,Chips
2024-12-02,Lunch,Takeout lunch
2024-12-03,Transport,Train fare
2024-12-03,Snacks,Coffee
2024-12-03,Lunch,Restaurant meal
2024-12-04,Stationary,Notebooks
2024-12-04,Snacks,Granola bar
2024-12-04,Lunch,Takeout lunch
2024-12-05,Transport,Taxi fare
2024-12-05,Snacks,Cookies
2024-12-05,Lunch,Home-cooked meal
2024-12-06,Grocery,Weekly grocery shopping
2024-12-06,Snacks,Chocolate
2024-12-06,Lunch,Office lunch
2024-12-07,Transport,Bus fare
2024-12-07,Snacks,Soda
2024-12-07,Lunch,Fast food
2024-12-08,Stationary,Art supplies
2024-12-08,Snacks,Fruit
2024-12-08,Lunch,Leftovers
